Module,Female,Male,Major_category
2D Animation,58,32,GAV
2D Game Creation,8,6,GAV
3D Character Animation ,26,16,GAV
3D Graphics Programming,51,26,GAV
Acting for Animation,18,11,GAV
Advanced Data Analytics,11,6,CIS
Advanced Database Systems,81,46,COM
Advanced Digital Image Techniques,43,19,GAV
Advanced Effects Animation,2,0,GAV
Advanced Game Mechanics,39,26,GAV
Advanced Java Programming,47,28,CIS
Advanced Mission Design,38,25,GAV
Advanced Networks,45,26,COM
Advanced Server-side Technologies,14,9,MUL
Algorithms and Programming,1,0,CIS
Algorithms for Games,59,32,GAV
Anatomy of a Producer,9,5,CAM
Applied Artificial Intelligence,9,3,CIS
Asset Design and Modelling,182,110,GAV
Audio & MIDI Recording Theory,17,12,CAM
Audio & MIDI Sequencing,17,12,CAM
Beta Arcade,220,144,GAV
Body Mechanics,18,11,GAV
C++ Programming ,41,22,GAV
Character and Set Design and Layout,21,10,GAV
Character Design,52,27,GAV
Client-based Production Project,46,23,CAM
Computational Thinking,43,28,CIS
Computer and Mobile Technologies,16,9,CIS
Computing Project ,167,104,CIS
Concept Art Project,5,4,GAV
Contemporary AI Planning,2,1,COM
Context and Events,17,12,CAM
Creating Media Narratives,11,6,CAM
Creative Content Development,46,23,MED
Creative Media Production,9,4,CAM
Creativity and Design,53,30,GAV
Creature Animation for Real Time,38,25,GAV
Critical and Contextual Studies,85,50,GAV
Digital Compositing,13,7,GAV
Digital Image Techniques,69,39,GAV
Digital Platforms and Production,17,6,CAM
Digital Sculpting,49,31,GAV
Digital Storytelling,33,21,CAM
Documentary Production,1,0,CAM
Drawing for Concept Artists,53,27,GAV
Drawing for Games and Animation 1,252,142,GAV
Drawing for Games and Animation 3,43,19,GAV
Drawing Principles,53,30,GAV
Effects Animation,13,7,GAV
Emerging Database Technologies,16,10,CIS
Ethical Hacking,38,19,CIS
Film Genre in Practice,11,6,CAM
Front End Development,11,8,CIS
Funding and Finance,9,5,CAM
Game Design and Mechanics,106,63,GAV
Game Development,93,58,GAV
Game Prototyping,6,3,GAV
Game Publishing,12,6,GAV
Games Business and Marketing,8,6,GAV
Games Engine Construction,52,27,GAV
Games Futures,178,110,GAV
Games Studies,136,76,GAV
Games Technical Art,65,39,GAV
Global Communications,6,3,CAM
Hacking the Human,39,22,CIS
ICT Service Management,48,28,COM
Imaging Techniques for VFX,14,9,GAV
Indie Game Project,13,7,GAV
Individual Production Portfolio,1,0,MED
Information Security and Cybercrime,39,22,CIS
Information Systems Development,47,31,CIS
Information Technology Systems Management,18,10,CIS
Intelligent Multimodal Interaction,2,1,COM
Introduction to Programming,51,33,CIS
Introduction to Programming with JavaScript,8,6,CIS
IoT Security,30,18,CIS
Java Programming,73,40,CIS
Law and Regulation for Journalists,26,17,CAM
"Lights, Camera, Action: The Language of Film",1,0,MED
Machine Learning and Game Analytics,2,1,COM
Making it in the Media 3,46,23,MED
Material Creation,36,21,GAV
Mathematics and Problem Solving,75,42,CIS
Measurement Driven Project Management,20,7,CIS
Mission Design,98,61,GAV
Mobile Systems and Cybersecurity,35,21,CIS
Modelling and Sculpting,37,22,GAV
Modelling for Games,93,42,GAV
Motion Capture,12,9,GAV
Network Scripting,37,21,CIS
Networking Infrastructures,38,19,CIS
Networks and Systems Administration,14,7,CIS
Non-Digital Game Development,78,47,GAV
Object-Oriented Programming,15,6,CIS
Organic Modelling,136,80,GAV
"Philosophies, Tools and Technologies",18,8,CIS
Platforms and Peripherals,94,58,GAV
Practice Based Research,70,40,GAV
Problem Solving Principles,29,19,GAV
Professional Portfolio Development,68,41,GAV
Professional Practice,43,19,GAV
Programming for VFX,2,0,GAV
Public Relations and Promotional Culture,9,3,CAM
Public Relations: Campaigns and Creativity,8,3,CAM
Quantitative Visualisation,8,6,CIS
Rapid Development Systems ,28,14,CIS
Relational and NoSQL Databases,88,51,CIS
Reporting and Newsgathering,18,12,CAM
Research and Skills,33,20,CAM
Research Methods,147,85,CIS
Rigging and Scripting,15,10,GAV
Sequencing Images for Comics,18,15,CAM
Server Administration,38,19,CIS
Server-side Development,18,13,CIS
Shorthand for Journalists 1,49,31,MED
Sport Reporting,11,8,CAM
Statistical Methods,0,2,CIS
Story and Talent Development,8,5,CAM
Studio Development,6,3,VIS
Studio Production,29,19,CAM
Study Skills,10,5,CAM
Systems Design and Databases,180,102,CIS
User Experience for Digital Communications,8,3,CAM
Visual Iconography ,212,116,GAV
Visual Perspectives,64,43,CAM
Visual Scripting,27,18,GAV
Visual Scripting Principles,21,13,GAV
Web and Mobile Development ,26,15,CIS
Web Apps and Services,48,29,CIS
